ENSG00000005893,P13473,LAMP2_HUMAN,Lysosome-associated membrane glycoprotein 2 (LAMP-2) (Lysosome-associated membrane protein 2) (CD107 antigen-like family member B) (LGP-96) (CD antigen CD107b),LAMP2,1
ENSG00000033011,Q9BT22,ALG1_HUMAN,"Chitobiosyldiphosphodolichol beta-mannosyltransferase (EC 2.4.1.142) (Asparagine-linked glycosylation protein 1 homolog) (Beta-1,4-mannosyltransferase) (GDP-Man:GlcNAc2-PP-dolichol mannosyltransferase) (GDP-mannose-dolichol diphosphochitobiose mannosyltransferase) (Mannosyltransferase-1) (MT-1) (hMat-1)",UNQ861/PRO1870,19
ENSG00000035403,P18206,VINC_HUMAN,Vinculin (Metavinculin) (MV),VCL,20
ENSG00000036828,P41180,CASR_HUMAN,Extracellular calcium-sensing receptor (CaR) (CaSR) (hCasR) (Parathyroid cell calcium-sensing receptor 1) (PCaR1),CASR,21
ENSG00000036828,P41180,CASR_HUMAN,Extracellular calcium-sensing receptor (CaR) (CaSR) (hCasR) (Parathyroid cell calcium-sensing receptor 1) (PCaR1),GPRC2A,22
ENSG00000036828,P41180,CASR_HUMAN,Extracellular calcium-sensing receptor (CaR) (CaSR) (hCasR) (Parathyroid cell calcium-sensing receptor 1) (PCaR1),PCAR1,23
ENSG00000038427,P13611,CSPG2_HUMAN,Versican core protein (Chondroitin sulfate proteoglycan core protein 2) (Chondroitin sulfate proteoglycan 2) (Glial hyaluronate-binding protein) (GHAP) (Large fibroblast proteoglycan) (PG-M),VCAN,24
ENSG00000038427,P13611,CSPG2_HUMAN,Versican core protein (Chondroitin sulfate proteoglycan core protein 2) (Chondroitin sulfate proteoglycan 2) (Glial hyaluronate-binding protein) (GHAP) (Large fibroblast proteoglycan) (PG-M),CSPG2,25
ENSG00000043591,P08588,ADRB1_HUMAN,Beta-1 adrenergic receptor (Beta-1 adrenoreceptor) (Beta-1 adrenoceptor),ADRB1,26
ENSG00000043591,P08588,ADRB1_HUMAN,Beta-1 adrenergic receptor (Beta-1 adrenoreceptor) (Beta-1 adrenoceptor),ADRB1R,27
ENSG00000043591,P08588,ADRB1_HUMAN,Beta-1 adrenergic receptor (Beta-1 adrenoreceptor) (Beta-1 adrenoceptor),B1AR,28
ENSG00000046604,Q14126,DSG2_HUMAN,Desmoglein-2 (Cadherin family member 5) (HDGC),DSG2,29
ENSG00000046604,Q14126,DSG2_HUMAN,Desmoglein-2 (Cadherin family member 5) (HDGC),CDHF5,30
ENSG00000046651,O75665,OFD1_HUMAN,Oral-facial-digital syndrome 1 protein (Protein 71-7A),OFD1,31
ENSG00000046651,O75665,OFD1_HUMAN,Oral-facial-digital syndrome 1 protein (Protein 71-7A),CXorf5,32
ENSG00000047457,P00450,CERU_HUMAN,Ceruloplasmin (EC 1.16.3.1) (Ferroxidase),CP,33
ENSG00000047597,P51811,XK_HUMAN,Membrane transport protein XK (Kell complex 37 kDa component) (Kx antigen) (XK-related protein 1),XK,34
ENSG00000047597,P51811,XK_HUMAN,Membrane transport protein XK (Kell complex 37 kDa component) (Kx antigen) (XK-related protein 1),XKR1,35
ENSG00000047597,P51811,XK_HUMAN,Membrane transport protein XK (Kell complex 37 kDa component) (Kx antigen) (XK-related protein 1),XRG1,36
ENSG00000048052,Q9UKV0,HDAC9_HUMAN,Histone deacetylase 9 (HD9) (EC 3.5.1.98) (Histone deacetylase 7B) (HD7) (HD7b) (Histone deacetylase-related protein) (MEF2-interacting transcription repressor MITR),HDAC9,37
ENSG00000048052,Q9UKV0,HDAC9_HUMAN,Histone deacetylase 9 (HD9) (EC 3.5.1.98) (Histone deacetylase 7B) (HD7) (HD7b) (Histone deacetylase-related protein) (MEF2-interacting transcription repressor MITR),HDAC7,38
ENSG00000048052,Q9UKV0,HDAC9_HUMAN,Histone deacetylase 9 (HD9) (EC 3.5.1.98) (Histone deacetylase 7B) (HD7) (HD7b) (Histone deacetylase-related protein) (MEF2-interacting transcription repressor MITR),HDAC7B,39
ENSG00000048052,Q9UKV0,HDAC9_HUMAN,Histone deacetylase 9 (HD9) (EC 3.5.1.98) (Histone deacetylase 7B) (HD7) (HD7b) (Histone deacetylase-related protein) (MEF2-interacting transcription repressor MITR),HDRP,40
ENSG00000048052,Q9UKV0,HDAC9_HUMAN,Histone deacetylase 9 (HD9) (EC 3.5.1.98) (Histone deacetylase 7B) (HD7) (HD7b) (Histone deacetylase-related protein) (MEF2-interacting transcription repressor MITR),KIAA0744,41
ENSG00000048052,Q9UKV0,HDAC9_HUMAN,Histone deacetylase 9 (HD9) (EC 3.5.1.98) (Histone deacetylase 7B) (HD7) (HD7b) (Histone deacetylase-related protein) (MEF2-interacting transcription repressor MITR),MITR,42
ENSG00000049860,P07686,HEXB_HUMAN,Beta-hexosaminidase subunit beta (EC 3.2.1.52) (Beta-N-acetylhexosaminidase subunit beta) (Hexosaminidase subunit B) (Cervical cancer proto-oncogene 7 protein) (HCC-7) (N-acetyl-beta-glucosaminidase subunit beta) [Cleaved into: Beta-hexosaminidase subunit beta chain B; Beta-hexosaminidase subunit beta chain A],HEXB,43
ENSG00000049860,P07686,HEXB_HUMAN,Beta-hexosaminidase subunit beta (EC 3.2.1.52) (Beta-N-acetylhexosaminidase subunit beta) (Hexosaminidase subunit B) (Cervical cancer proto-oncogene 7 protein) (HCC-7) (N-acetyl-beta-glucosaminidase subunit beta) [Cleaved into: Beta-hexosaminidase subunit beta chain B; Beta-hexosaminidase subunit beta chain A],HCC7,44
ENSG00000054523,O60333,KIF1B_HUMAN,Kinesin-like protein KIF1B (Klp),KIF1B,45
ENSG00000054523,O60333,KIF1B_HUMAN,Kinesin-like protein KIF1B (Klp),KIAA0591,46
ENSG00000054523,O60333,KIF1B_HUMAN,Kinesin-like protein KIF1B (Klp),KIAA1448,47
ENSG00000054654,Q8WXH0,SYNE2_HUMAN,Nesprin-2 (KASH domain-containing protein 2) (KASH2) (Nuclear envelope spectrin repeat protein 2) (Nucleus and actin connecting element protein) (Protein NUANCE) (Synaptic nuclear envelope protein 2) (Syne-2),SYNE2,48
ENSG00000054654,Q8WXH0,SYNE2_HUMAN,Nesprin-2 (KASH domain-containing protein 2) (KASH2) (Nuclear envelope spectrin repeat protein 2) (Nucleus and actin connecting element protein) (Protein NUANCE) (Synaptic nuclear envelope protein 2) (Syne-2),KIAA1011,49
ENSG00000054654,Q8WXH0,SYNE2_HUMAN,Nesprin-2 (KASH domain-containing protein 2) (KASH2) (Nuclear envelope spectrin repeat protein 2) (Nucleus and actin connecting element protein) (Protein NUANCE) (Synaptic nuclear envelope protein 2) (Syne-2),NUA,50
ENSG00000055118,Q12809,KCNH2_HUMAN,Potassium voltage-gated channel subfamily H member 2 (Eag homolog) (Ether-a-go-go-related gene potassium channel 1) (ERG-1) (Eag-related protein 1) (Ether-a-go-go-related protein 1) (H-ERG) (hERG-1) (hERG1) (Voltage-gated potassium channel subunit Kv11.1),KCNH2,51
ENSG00000055118,Q12809,KCNH2_HUMAN,Potassium voltage-gated channel subfamily H member 2 (Eag homolog) (Ether-a-go-go-related gene potassium channel 1) (ERG-1) (Eag-related protein 1) (Ether-a-go-go-related protein 1) (H-ERG) (hERG-1) (hERG1) (Voltage-gated potassium channel subunit Kv11.1),ERG,52
ENSG00000055118,Q12809,KCNH2_HUMAN,Potassium voltage-gated channel subfamily H member 2 (Eag homolog) (Ether-a-go-go-related gene potassium channel 1) (ERG-1) (Eag-related protein 1) (Ether-a-go-go-related protein 1) (H-ERG) (hERG-1) (hERG1) (Voltage-gated potassium channel subunit Kv11.1),ERG1,53
ENSG00000055118,Q12809,KCNH2_HUMAN,Potassium voltage-gated channel subfamily H member 2 (Eag homolog) (Ether-a-go-go-related gene potassium channel 1) (ERG-1) (Eag-related protein 1) (Ether-a-go-go-related protein 1) (H-ERG) (hERG-1) (hERG1) (Voltage-gated potassium channel subunit Kv11.1),HERG,54
ENSG00000061273,Q8WUI4,HDAC7_HUMAN,Histone deacetylase 7 (HD7) (EC 3.5.1.98) (Histone deacetylase 7A) (HD7a),HDAC7,55
ENSG00000061273,Q8WUI4,HDAC7_HUMAN,Histone deacetylase 7 (HD7) (EC 3.5.1.98) (Histone deacetylase 7A) (HD7a),HDAC7A,56
ENSG00000065361,P21860,ERBB3_HUMAN,Receptor tyrosine-protein kinase erbB-3 (EC 2.7.10.1) (Proto-oncogene-like protein c-ErbB-3) (Tyrosine kinase-type cell surface receptor HER3),ERBB3,57
ENSG00000065361,P21860,ERBB3_HUMAN,Receptor tyrosine-protein kinase erbB-3 (EC 2.7.10.1) (Proto-oncogene-like protein c-ErbB-3) (Tyrosine kinase-type cell surface receptor HER3),HER3,58
ENSG00000067560,P61586,RHOA_HUMAN,Transforming protein RhoA (Rho cDNA clone 12) (h12),RHOA,59
ENSG00000067560,P61586,RHOA_HUMAN,Transforming protein RhoA (Rho cDNA clone 12) (h12),ARH12,60
ENSG00000067560,P61586,RHOA_HUMAN,Transforming protein RhoA (Rho cDNA clone 12) (h12),ARHA,61
ENSG00000067560,P61586,RHOA_HUMAN,Transforming protein RhoA (Rho cDNA clone 12) (h12),RHO12,62
ENSG00000069431,O60706,ABCC9_HUMAN,ATP-binding cassette sub-family C member 9 (Sulfonylurea receptor 2),ABCC9,63
ENSG00000069431,O60706,ABCC9_HUMAN,ATP-binding cassette sub-family C member 9 (Sulfonylurea receptor 2),SUR2,64
ENSG00000070831,P60953,CDC42_HUMAN,Cell division control protein 42 homolog (G25K GTP-binding protein),CDC42,65
ENSG00000072195,Q15772,SPEG_HUMAN,Striated muscle preferentially expressed protein kinase (EC 2.7.11.1) (Aortic preferentially expressed protein 1) (APEG-1),SPEG,66
ENSG00000072195,Q15772,SPEG_HUMAN,Striated muscle preferentially expressed protein kinase (EC 2.7.11.1) (Aortic preferentially expressed protein 1) (APEG-1),APEG1,67
ENSG00000072195,Q15772,SPEG_HUMAN,Striated muscle preferentially expressed protein kinase (EC 2.7.11.1) (Aortic preferentially expressed protein 1) (APEG-1),KIAA1297,68
ENSG00000072310,P36956,SRBP1_HUMAN,Sterol regulatory element-binding protein 1 (SREBP-1) (Class D basic helix-loop-helix protein 1) (bHLHd1) (Sterol regulatory element-binding transcription factor 1) [Cleaved into: Processed sterol regulatory element-binding protein 1],SREBF1,69
ENSG00000072310,P36956,SRBP1_HUMAN,Sterol regulatory element-binding protein 1 (SREBP-1) (Class D basic helix-loop-helix protein 1) (bHLHd1) (Sterol regulatory element-binding transcription factor 1) [Cleaved into: Processed sterol regulatory element-binding protein 1],BHLHD1,70
ENSG00000072310,P36956,SRBP1_HUMAN,Sterol regulatory element-binding protein 1 (SREBP-1) (Class D basic helix-loop-helix protein 1) (bHLHd1) (Sterol regulatory element-binding transcription factor 1) [Cleaved into: Processed sterol regulatory element-binding protein 1],SREBP1,71
ENSG00000072756,Q96Q11,TRNT1_HUMAN,"CCA tRNA nucleotidyltransferase 1, mitochondrial (EC 2.7.7.72) (Mitochondrial tRNA nucleotidyl transferase, CCA-adding) (mt CCA-adding enzyme) (mt tRNA CCA-diphosphorylase) (mt tRNA CCA-pyrophosphorylase) (mt tRNA adenylyltransferase)",TRNT1,72
ENSG00000072756,Q96Q11,TRNT1_HUMAN,"CCA tRNA nucleotidyltransferase 1, mitochondrial (EC 2.7.7.72) (Mitochondrial tRNA nucleotidyl transferase, CCA-adding) (mt CCA-adding enzyme) (mt tRNA CCA-diphosphorylase) (mt tRNA CCA-pyrophosphorylase) (mt tRNA adenylyltransferase)",CGI-47,73
ENSG00000072840,P57679,EVC_HUMAN,Ellis-van Creveld syndrome protein (DWF-1),EVC,74
ENSG00000073578,P31040,SDHA_HUMAN,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial (EC 1.3.5.1) (Flavoprotein subunit of complex II) (Fp)",SDHA,75
ENSG00000073578,P31040,SDHA_HUMAN,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial (EC 1.3.5.1) (Flavoprotein subunit of complex II) (Fp)",SDH2,76
ENSG00000073578,P31040,SDHA_HUMAN,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial (EC 1.3.5.1) (Flavoprotein subunit of complex II) (Fp)",SDHF,77
ENSG00000073756,P35354,PGH2_HUMAN,Prostaglandin G/H synthase 2 (EC 1.14.99.1) (Cyclooxygenase-2) (COX-2) (PHS II) (Prostaglandin H2 synthase 2) (PGH synthase 2) (PGHS-2) (Prostaglandin-endoperoxide synthase 2),PTGS2,78
ENSG00000073756,P35354,PGH2_HUMAN,Prostaglandin G/H synthase 2 (EC 1.14.99.1) (Cyclooxygenase-2) (COX-2) (PHS II) (Prostaglandin H2 synthase 2) (PGH synthase 2) (PGHS-2) (Prostaglandin-endoperoxide synthase 2),COX2,79
ENSG00000077522,P35609,ACTN2_HUMAN,Alpha-actinin-2 (Alpha-actinin skeletal muscle isoform 2) (F-actin cross-linking protein),ACTN2,80
ENSG00000078401,P05305,EDN1_HUMAN,Endothelin-1 (Preproendothelin-1) (PPET1) [Cleaved into: Endothelin-1 (ET-1); Big endothelin-1],EDN1,81
ENSG00000079739,P36871,PGM1_HUMAN,Phosphoglucomutase-1 (PGM 1) (EC 5.4.2.2) (Glucose phosphomutase 1),PGM1,82
ENSG00000080815,P49768,PSN1_HUMAN,Presenilin-1 (PS-1) (EC 3.4.23.-) (Protein S182) [Cleaved into: Presenilin-1 NTF subunit; Presenilin-1 CTF subunit; Presenilin-1 CTF12 (PS1-CTF12)],PSEN1,83
ENSG00000080815,P49768,PSN1_HUMAN,Presenilin-1 (PS-1) (EC 3.4.23.-) (Protein S182) [Cleaved into: Presenilin-1 NTF subunit; Presenilin-1 CTF subunit; Presenilin-1 CTF12 (PS1-CTF12)],AD3,84
ENSG00000080815,P49768,PSN1_HUMAN,Presenilin-1 (PS-1) (EC 3.4.23.-) (Protein S182) [Cleaved into: Presenilin-1 NTF subunit; Presenilin-1 CTF subunit; Presenilin-1 CTF12 (PS1-CTF12)],PS1,85
ENSG00000080815,P49768,PSN1_HUMAN,Presenilin-1 (PS-1) (EC 3.4.23.-) (Protein S182) [Cleaved into: Presenilin-1 NTF subunit; Presenilin-1 CTF subunit; Presenilin-1 CTF12 (PS1-CTF12)],PSNL1,86
ENSG00000081189,Q06413,MEF2C_HUMAN,Myocyte-specific enhancer factor 2C (Myocyte enhancer factor 2C),MEF2C,87
ENSG00000083444,Q02809,PLOD1_HUMAN,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 (EC 1.14.11.4) (Lysyl hydroxylase 1) (LH1)",PLOD1,88
ENSG00000083444,Q02809,PLOD1_HUMAN,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 (EC 1.14.11.4) (Lysyl hydroxylase 1) (LH1)",LLH,89
ENSG00000083444,Q02809,PLOD1_HUMAN,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 (EC 1.14.11.4) (Lysyl hydroxylase 1) (LH1)",PLOD,90
ENSG00000084093,Q13127,REST_HUMAN,RE1-silencing transcription factor (Neural-restrictive silencer factor) (X2 box repressor),REST,91
ENSG00000084093,Q13127,REST_HUMAN,RE1-silencing transcription factor (Neural-restrictive silencer factor) (X2 box repressor),NRSF,92
ENSG00000084093,Q13127,REST_HUMAN,RE1-silencing transcription factor (Neural-restrictive silencer factor) (X2 box repressor),XBR,93
ENSG00000084754,P40939,ECHA_HUMAN,"Trifunctional enzyme subunit alpha, mitochondrial (78 kDa gastrin-binding protein) (TP-alpha) [Includes: Long-chain enoyl-CoA hydratase (EC 4.2.1.17); Long chain 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.211)]",HADHA,94
ENSG00000084754,P40939,ECHA_HUMAN,"Trifunctional enzyme subunit alpha, mitochondrial (78 kDa gastrin-binding protein) (TP-alpha) [Includes: Long-chain enoyl-CoA hydratase (EC 4.2.1.17); Long chain 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.211)]",HADH,95
ENSG00000087460,Q5JWF2,GNAS1_HUMAN,Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas (Adenylate cyclase-stimulating G alpha protein) (Extra large alphas protein) (XLalphas),GNAS,96
ENSG00000087460,Q5JWF2,GNAS1_HUMAN,Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas (Adenylate cyclase-stimulating G alpha protein) (Extra large alphas protein) (XLalphas),GNAS1,97
ENSG00000088256,P29992,GNA11_HUMAN,Guanine nucleotide-binding protein subunit alpha-11 (G alpha-11) (G-protein subunit alpha-11) (Guanine nucleotide-binding protein G(y) subunit alpha),GNA11,98
ENSG00000088256,P29992,GNA11_HUMAN,Guanine nucleotide-binding protein subunit alpha-11 (G alpha-11) (G-protein subunit alpha-11) (Guanine nucleotide-binding protein G(y) subunit alpha),GA11,99
ENSG00000089289,P78318,IGBP1_HUMAN,Immunoglobulin-binding protein 1 (B-cell signal transduction molecule alpha 4) (Protein alpha-4) (CD79a-binding protein 1) (Protein phosphatase 2/4/6 regulatory subunit) (Renal carcinoma antigen NY-REN-16),IGBP1,100
ENSG00000089289,P78318,IGBP1_HUMAN,Immunoglobulin-binding protein 1 (B-cell signal transduction molecule alpha 4) (Protein alpha-4) (CD79a-binding protein 1) (Protein phosphatase 2/4/6 regulatory subunit) (Renal carcinoma antigen NY-REN-16),IBP1,101
ENSG00000090006,Q8N2S1,LTBP4_HUMAN,Latent-transforming growth factor beta-binding protein 4 (LTBP-4),LTBP4,102
ENSG00000091262,O95255,MRP6_HUMAN,Multidrug resistance-associated protein 6 (ATP-binding cassette sub-family C member 6) (Anthracycline resistance-associated protein) (Multi-specific organic anion transporter E) (MOAT-E),ABCC6,103
ENSG00000091262,O95255,MRP6_HUMAN,Multidrug resistance-associated protein 6 (ATP-binding cassette sub-family C member 6) (Anthracycline resistance-associated protein) (Multi-specific organic anion transporter E) (MOAT-E),ARA,104
ENSG00000091262,O95255,MRP6_HUMAN,Multidrug resistance-associated protein 6 (ATP-binding cassette sub-family C member 6) (Anthracycline resistance-associated protein) (Multi-specific organic anion transporter E) (MOAT-E),MRP6,105
ENSG00000091513,P02787,TRFE_HUMAN,Serotransferrin (Transferrin) (Beta-1 metal-binding globulin) (Siderophilin),TF,106
ENSG00000091513,P02787,TRFE_HUMAN,Serotransferrin (Transferrin) (Beta-1 metal-binding globulin) (Siderophilin),PRO1400,107
ENSG00000092054,P12883,MYH7_HUMAN,"Myosin-7 (Myosin heavy chain 7) (Myosin heavy chain slow isoform) (MyHC-slow) (Myosin heavy chain, cardiac muscle beta isoform) (MyHC-beta)",MYH7,108
ENSG00000092054,P12883,MYH7_HUMAN,"Myosin-7 (Myosin heavy chain 7) (Myosin heavy chain slow isoform) (MyHC-slow) (Myosin heavy chain, cardiac muscle beta isoform) (MyHC-beta)",MYHCB,109
ENSG00000096696,P15924,DESP_HUMAN,Desmoplakin (DP) (250/210 kDa paraneoplastic pemphigus antigen),DSP,110
ENSG00000099940,O95721,SNP29_HUMAN,Synaptosomal-associated protein 29 (SNAP-29) (Soluble 29 kDa NSF attachment protein) (Vesicle-membrane fusion protein SNAP-29),SNAP29,111
ENSG00000099949,Q8N653,LZTR1_HUMAN,Leucine-zipper-like transcriptional regulator 1 (LZTR-1),LZTR1,112
ENSG00000099949,Q8N653,LZTR1_HUMAN,Leucine-zipper-like transcriptional regulator 1 (LZTR-1),TCFL2,113
ENSG00000100242,Q9UH99,SUN2_HUMAN,SUN domain-containing protein 2 (Protein unc-84 homolog B) (Rab5-interacting protein) (Rab5IP) (Sad1/unc-84 protein-like 2),SUN2,114
ENSG00000100242,Q9UH99,SUN2_HUMAN,SUN domain-containing protein 2 (Protein unc-84 homolog B) (Rab5-interacting protein) (Rab5IP) (Sad1/unc-84 protein-like 2),FRIGG,115
ENSG00000100242,Q9UH99,SUN2_HUMAN,SUN domain-containing protein 2 (Protein unc-84 homolog B) (Rab5-interacting protein) (Rab5IP) (Sad1/unc-84 protein-like 2),KIAA0668,116
ENSG00000100242,Q9UH99,SUN2_HUMAN,SUN domain-containing protein 2 (Protein unc-84 homolog B) (Rab5-interacting protein) (Rab5IP) (Sad1/unc-84 protein-like 2),RAB5IP,117
ENSG00000100242,Q9UH99,SUN2_HUMAN,SUN domain-containing protein 2 (Protein unc-84 homolog B) (Rab5-interacting protein) (Rab5IP) (Sad1/unc-84 protein-like 2),UNC84B,118
ENSG00000100292,P09601,HMOX1_HUMAN,Heme oxygenase 1 (HO-1) (EC 1.14.14.18),HMOX1,119
ENSG00000100292,P09601,HMOX1_HUMAN,Heme oxygenase 1 (HO-1) (EC 1.14.14.18),HO,120
ENSG00000100292,P09601,HMOX1_HUMAN,Heme oxygenase 1 (HO-1) (EC 1.14.14.18),HO1,121
ENSG00000100393,Q09472,EP300_HUMAN,Histone acetyltransferase p300 (p300 HAT) (EC 2.3.1.48) (E1A-associated protein p300) (Histone butyryltransferase p300) (EC 2.3.1.-) (Histone crotonyltransferase p300) (EC 2.3.1.-) (Protein propionyltransferase p300) (EC 2.3.1.-),EP300,122
ENSG00000100393,Q09472,EP300_HUMAN,Histone acetyltransferase p300 (p300 HAT) (EC 2.3.1.48) (E1A-associated protein p300) (Histone butyryltransferase p300) (EC 2.3.1.-) (Histone crotonyltransferase p300) (EC 2.3.1.-) (Protein propionyltransferase p300) (EC 2.3.1.-),P300,123
ENSG00000100485,Q07890,SOS2_HUMAN,Son of sevenless homolog 2 (SOS-2),SOS2,124
ENSG00000101109,Q13043,STK4_HUMAN,Serine/threonine-protein kinase 4 (EC 2.7.11.1) (Mammalian STE20-like protein kinase 1) (MST-1) (STE20-like kinase MST1) (Serine/threonine-protein kinase Krs-2) [Cleaved into: Serine/threonine-protein kinase 4 37kDa subunit (MST1/N); Serine/threonine-protein kinase 4 18kDa subunit (MST1/C)],STK4,125
ENSG00000101109,Q13043,STK4_HUMAN,Serine/threonine-protein kinase 4 (EC 2.7.11.1) (Mammalian STE20-like protein kinase 1) (MST-1) (STE20-like kinase MST1) (Serine/threonine-protein kinase Krs-2) [Cleaved into: Serine/threonine-protein kinase 4 37kDa subunit (MST1/N); Serine/threonine-protein kinase 4 18kDa subunit (MST1/C)],KRS2,126
ENSG00000101109,Q13043,STK4_HUMAN,Serine/threonine-protein kinase 4 (EC 2.7.11.1) (Mammalian STE20-like protein kinase 1) (MST-1) (STE20-like kinase MST1) (Serine/threonine-protein kinase Krs-2) [Cleaved into: Serine/threonine-protein kinase 4 37kDa subunit (MST1/N); Serine/threonine-protein kinase 4 18kDa subunit (MST1/C)],MST1,127
ENSG00000101306,Q9H1R3,MYLK2_HUMAN,"Myosin light chain kinase 2, skeletal/cardiac muscle (MLCK2) (EC 2.7.11.18)",MYLK2,128
ENSG00000101439,P01034,CYTC_HUMAN,Cystatin-C (Cystatin-3) (Gamma-trace) (Neuroendocrine basic polypeptide) (Post-gamma-globulin),CST3,129
ENSG00000101444,P23526,SAHH_HUMAN,Adenosylhomocysteinase (AdoHcyase) (EC 3.3.1.1) (S-adenosyl-L-homocysteine hydrolase),AHCY,130
ENSG00000101444,P23526,SAHH_HUMAN,Adenosylhomocysteinase (AdoHcyase) (EC 3.3.1.1) (S-adenosyl-L-homocysteine hydrolase),SAHH,131
