name,Gene ontology (biological process),Gene ontology (cellular component),Gene ontology (GO),Gene ontology (molecular function),Gene ontology IDs
FUT1,carbohydrate metabolic process [GO:0005975]; L-fucose catabolic process [GO:0042355]; protein glycosylation [GO:0006486],Golgi apparatus [GO:0005794]; Golgi cisterna membrane [GO:0032580]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020],Golgi apparatus [GO:0005794]; Golgi cisterna membrane [GO:0032580]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; fucosyltransferase activity [GO:0008417]; galactoside 2-alpha-L-fucosyltransferase activity [GO:0008107]; carbohydrate metabolic process [GO:0005975]; L-fucose catabolic process [GO:0042355]; protein glycosylation [GO:0006486],fucosyltransferase activity [GO:0008417]; galactoside 2-alpha-L-fucosyltransferase activity [GO:0008107],GO:0005794; GO:0005887; GO:0005975; GO:0006486; GO:0008107; GO:0008417; GO:0016020; GO:0032580; GO:0042355
LMNB1,interleukin-12-mediated signaling pathway [GO:0035722],lamin filament [GO:0005638]; membrane [GO:0016020]; nuclear envelope [GO:0005635]; nuclear inner membrane [GO:0005637]; nuclear matrix [GO:0016363]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],lamin filament [GO:0005638]; membrane [GO:0016020]; nuclear envelope [GO:0005635]; nuclear inner membrane [GO:0005637]; nuclear matrix [GO:0016363]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; phospholipase binding [GO:0043274]; structural molecule activity [GO:0005198]; interleukin-12-mediated signaling pathway [GO:0035722],phospholipase binding [GO:0043274]; structural molecule activity [GO:0005198],GO:0005198; GO:0005634; GO:0005635; GO:0005637; GO:0005638; GO:0005654; GO:0016020; GO:0016363; GO:0031965; GO:0035722; GO:0043274
RASA1,blood vessel morphogenesis [GO:0048514]; ephrin receptor signaling pathway [GO:0048013]; intracellular signal transduction [GO:0035556]; MAPK cascade [GO:0000165]; mitotic cytokinesis [GO:0000281]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell adhesion [GO:0007162]; negative regulation of cell-matrix adhesion [GO:0001953]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of Ras protein signal transduction [GO:0046580]; regulation of actin filament polymerization [GO:0030833]; regulation of cell shape [GO:0008360]; regulation of RNA metabolic process [GO:0051252]; signal transduction [GO:0007165]; vasculogenesis [GO:0001570],cytoplasm [GO:0005737]; cytosol [GO:0005829]; intrinsic component of the cytoplasmic side of the plasma membrane [GO:0031235]; ruffle [GO:0001726],cytoplasm [GO:0005737]; cytosol [GO:0005829]; intrinsic component of the cytoplasmic side of the plasma membrane [GO:0031235]; ruffle [GO:0001726]; GTPase activator activity [GO:0005096]; GTPase activity [GO:0003924]; GTPase binding [GO:0051020]; phosphotyrosine residue binding [GO:0001784]; potassium channel inhibitor activity [GO:0019870]; signaling receptor binding [GO:0005102]; blood vessel morphogenesis [GO:0048514]; ephrin receptor signaling pathway [GO:0048013]; intracellular signal transduction [GO:0035556]; MAPK cascade [GO:0000165]; mitotic cytokinesis [GO:0000281]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell adhesion [GO:0007162]; negative regulation of cell-matrix adhesion [GO:0001953]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of Ras protein signal transduction [GO:0046580]; regulation of actin filament polymerization [GO:0030833]; regulation of cell shape [GO:0008360]; regulation of RNA metabolic process [GO:0051252]; signal transduction [GO:0007165]; vasculogenesis [GO:0001570],GTPase activator activity [GO:0005096]; GTPase activity [GO:0003924]; GTPase binding [GO:0051020]; phosphotyrosine residue binding [GO:0001784]; potassium channel inhibitor activity [GO:0019870]; signaling receptor binding [GO:0005102],GO:0000165; GO:0000281; GO:0001570; GO:0001726; GO:0001784; GO:0001953; GO:0003924; GO:0005096; GO:0005102; GO:0005737; GO:0005829; GO:0007162; GO:0007165; GO:0008360; GO:0019870; GO:0030833; GO:0031235; GO:0035556; GO:0043066; GO:0043524; GO:0046580; GO:0048013; GO:0048514; GO:0051020; GO:0051252
PTMS,DNA replication [GO:0006260]; immune system process [GO:0002376],nucleus [GO:0005634],nucleus [GO:0005634]; DNA replication [GO:0006260]; immune system process [GO:0002376],,GO:0002376; GO:0005634; GO:0006260
ZNF10,"transcription, DNA-templated [GO:0006351]",nucleus [GO:0005634],"nucleus [GO:0005634]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; transcription, DNA-templated [GO:0006351]","DNA binding [GO:0003677]; metal ion binding [GO:0046872]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]",GO:0000981; GO:0003677; GO:0005634; GO:0006351; GO:0046872
IBSP,bone mineralization [GO:0030282]; cell adhesion [GO:0007155]; cellular response to growth factor stimulus [GO:0071363]; extracellular matrix organization [GO:0030198]; osteoblast differentiation [GO:0001649]; positive regulation of cell adhesion [GO:0045785],extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; membrane [GO:0016020]; vesicle [GO:0031982],extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; membrane [GO:0016020]; vesicle [GO:0031982]; integrin binding [GO:0005178]; bone mineralization [GO:0030282]; cell adhesion [GO:0007155]; cellular response to growth factor stimulus [GO:0071363]; extracellular matrix organization [GO:0030198]; osteoblast differentiation [GO:0001649]; positive regulation of cell adhesion [GO:0045785],integrin binding [GO:0005178],GO:0001649; GO:0005178; GO:0005576; GO:0005615; GO:0007155; GO:0016020; GO:0030198; GO:0030282; GO:0031012; GO:0031982; GO:0045785; GO:0071363
GPT,cellular amino acid biosynthetic process [GO:0008652]; L-alanine catabolic process [GO:0042853],cytosol [GO:0005829]; extracellular exosome [GO:0070062],cytosol [GO:0005829]; extracellular exosome [GO:0070062]; L-alanine:2-oxoglutarate aminotransferase activity [GO:0004021]; pyridoxal phosphate binding [GO:0030170]; cellular amino acid biosynthetic process [GO:0008652]; L-alanine catabolic process [GO:0042853],L-alanine:2-oxoglutarate aminotransferase activity [GO:0004021]; pyridoxal phosphate binding [GO:0030170],GO:0004021; GO:0005829; GO:0008652; GO:0030170; GO:0042853; GO:0070062
GRK2,cardiac muscle contraction [GO:0060048]; desensitization of G-protein coupled receptor protein signaling pathway [GO:0002029]; G-protein coupled acetylcholine receptor signaling pathway [GO:0007213]; G-protein coupled receptor signaling pathway [GO:0007186]; heart development [GO:0007507]; negative regulation of striated muscle contraction [GO:0045988]; negative regulation of the force of heart contraction by chemical signal [GO:0003108]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of catecholamine secretion [GO:0033605]; receptor internalization [GO:0031623]; tachykinin receptor signaling pathway [GO:0007217]; viral entry into host cell [GO:0046718]; viral genome replication [GO:0019079],cilium [GO:0005929]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; plasma membrane [GO:0005886],cilium [GO:0005929]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; plasma membrane [GO:0005886]; alpha-2A adrenergic receptor binding [GO:0031694]; ATP binding [GO:0005524]; beta-adrenergic receptor kinase activity [GO:0047696]; Edg-2 lysophosphatidic acid receptor binding [GO:0031755]; G-protein coupled receptor kinase activity [GO:0004703]; protein kinase activity [GO:0004672]; cardiac muscle contraction [GO:0060048]; desensitization of G-protein coupled receptor protein signaling pathway [GO:0002029]; G-protein coupled acetylcholine receptor signaling pathway [GO:0007213]; G-protein coupled receptor signaling pathway [GO:0007186]; heart development [GO:0007507]; negative regulation of striated muscle contraction [GO:0045988]; negative regulation of the force of heart contraction by chemical signal [GO:0003108]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of catecholamine secretion [GO:0033605]; receptor internalization [GO:0031623]; tachykinin receptor signaling pathway [GO:0007217]; viral entry into host cell [GO:0046718]; viral genome replication [GO:0019079],alpha-2A adrenergic receptor binding [GO:0031694]; ATP binding [GO:0005524]; beta-adrenergic receptor kinase activity [GO:0047696]; Edg-2 lysophosphatidic acid receptor binding [GO:0031755]; G-protein coupled receptor kinase activity [GO:0004703]; protein kinase activity [GO:0004672],GO:0002029; GO:0003108; GO:0004672; GO:0004703; GO:0005524; GO:0005737; GO:0005829; GO:0005886; GO:0005929; GO:0007186; GO:0007213; GO:0007217; GO:0007507; GO:0016020; GO:0018105; GO:0018107; GO:0019079; GO:0031623; GO:0031694; GO:0031755; GO:0033605; GO:0045988; GO:0046718; GO:0047696; GO:0060048
EDNRA,activation of adenylate cyclase activity [GO:0007190]; activation of phospholipase C activity [GO:0007202]; adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway [GO:0007193]; artery smooth muscle contraction [GO:0014824]; branching involved in blood vessel morphogenesis [GO:0001569]; cell proliferation [GO:0008283]; enteric nervous system development [GO:0048484]; glucose transmembrane transport [GO:1904659]; G-protein coupled receptor signaling pathway [GO:0007186]; head development [GO:0060322]; heart development [GO:0007507]; in utero embryonic development [GO:0001701]; neural crest cell development [GO:0014032]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; regulation of blood pressure [GO:0008217]; regulation of glucose transmembrane transport [GO:0010827]; respiratory gaseous exchange [GO:0007585]; response to hypoxia [GO:0001666]; signal transduction [GO:0007165]; smooth muscle contraction [GO:0006939]; vasoconstriction [GO:0042310],integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886],integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; endothelin receptor activity [GO:0004962]; phosphatidylinositol phospholipase C activity [GO:0004435]; activation of adenylate cyclase activity [GO:0007190]; activation of phospholipase C activity [GO:0007202]; adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway [GO:0007193]; artery smooth muscle contraction [GO:0014824]; branching involved in blood vessel morphogenesis [GO:0001569]; cell proliferation [GO:0008283]; enteric nervous system development [GO:0048484]; G-protein coupled receptor signaling pathway [GO:0007186]; glucose transmembrane transport [GO:1904659]; head development [GO:0060322]; heart development [GO:0007507]; in utero embryonic development [GO:0001701]; neural crest cell development [GO:0014032]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; regulation of blood pressure [GO:0008217]; regulation of glucose transmembrane transport [GO:0010827]; respiratory gaseous exchange [GO:0007585]; response to hypoxia [GO:0001666]; signal transduction [GO:0007165]; smooth muscle contraction [GO:0006939]; vasoconstriction [GO:0042310],endothelin receptor activity [GO:0004962]; phosphatidylinositol phospholipase C activity [GO:0004435],GO:0001569; GO:0001666; GO:0001701; GO:0004435; GO:0004962; GO:0005886; GO:0005887; GO:0006939; GO:0007165; GO:0007186; GO:0007190; GO:0007193; GO:0007202; GO:0007204; GO:0007507; GO:0007585; GO:0008217; GO:0008283; GO:0010827; GO:0014032; GO:0014824; GO:0042310; GO:0048484; GO:0060322; GO:1904659
S100A4,epithelial to mesenchymal transition [GO:0001837]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123],extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; neuron projection [GO:0043005]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471],extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; neuron projection [GO:0043005]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; actin binding [GO:0003779]; calcium ion binding [GO:0005509]; calcium-dependent protein binding [GO:0048306]; identical protein binding [GO:0042802]; RAGE receptor binding [GO:0050786]; RNA binding [GO:0003723]; transition metal ion binding [GO:0046914]; epithelial to mesenchymal transition [GO:0001837]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123],actin binding [GO:0003779]; calcium-dependent protein binding [GO:0048306]; calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; RAGE receptor binding [GO:0050786]; RNA binding [GO:0003723]; transition metal ion binding [GO:0046914],GO:0001837; GO:0003723; GO:0003779; GO:0005509; GO:0005576; GO:0005615; GO:0005634; GO:0042802; GO:0043005; GO:0043123; GO:0046914; GO:0048306; GO:0048471; GO:0050786; GO:0070062
TMOD1,actin filament organization [GO:0007015]; adult locomotory behavior [GO:0008344]; lens fiber cell development [GO:0070307]; muscle contraction [GO:0006936]; muscle filament sliding [GO:0030049]; myofibril assembly [GO:0030239]; pointed-end actin filament capping [GO:0051694],actin filament [GO:0005884]; cortical cytoskeleton [GO:0030863]; cytosol [GO:0005829]; membrane [GO:0016020]; myofibril [GO:0030016]; sarcomere [GO:0030017]; striated muscle thin filament [GO:0005865],actin filament [GO:0005884]; cortical cytoskeleton [GO:0030863]; cytosol [GO:0005829]; membrane [GO:0016020]; myofibril [GO:0030016]; sarcomere [GO:0030017]; striated muscle thin filament [GO:0005865]; actin binding [GO:0003779]; actin filament binding [GO:0051015]; tropomyosin binding [GO:0005523]; actin filament organization [GO:0007015]; adult locomotory behavior [GO:0008344]; lens fiber cell development [GO:0070307]; muscle contraction [GO:0006936]; muscle filament sliding [GO:0030049]; myofibril assembly [GO:0030239]; pointed-end actin filament capping [GO:0051694],actin binding [GO:0003779]; actin filament binding [GO:0051015]; tropomyosin binding [GO:0005523],GO:0003779; GO:0005523; GO:0005829; GO:0005865; GO:0005884; GO:0006936; GO:0007015; GO:0008344; GO:0016020; GO:0030016; GO:0030017; GO:0030049; GO:0030239; GO:0030863; GO:0051015; GO:0051694; GO:0070307
CD34,cell-cell adhesion [GO:0098609]; cell-matrix adhesion [GO:0007160]; cell motility [GO:0048870]; cell proliferation [GO:0008283]; endothelial cell proliferation [GO:0001935]; endothelium development [GO:0003158]; extracellular exosome assembly [GO:0071971]; glomerular endothelium development [GO:0072011]; glomerular filtration [GO:0003094]; hematopoietic stem cell proliferation [GO:0071425]; hemopoiesis [GO:0030097]; leukocyte migration [GO:0050900]; mesangial cell-matrix adhesion [GO:0035759]; metanephric glomerular mesangial cell differentiation [GO:0072254]; negative regulation of blood coagulation [GO:0030195]; negative regulation of cellular response to heat [GO:1900035]; negative regulation of cellular response to hypoxia [GO:1900038]; negative regulation of gene expression [GO:0010629]; negative regulation of interleukin-2 secretion [GO:1900041]; negative regulation of neuron death [GO:1901215]; negative regulation of nitric oxide biosynthetic process [GO:0045019]; negative regulation of tumor necrosis factor production [GO:0032720]; paracrine signaling [GO:0038001]; positive regulation of angiogenesis [GO:0045766]; positive regulation of gene expression [GO:0010628]; positive regulation of glial cell-derived neurotrophic factor secretion [GO:1900168]; positive regulation of granulocyte colony-stimulating factor production [GO:0071657]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of odontogenesis [GO:0042482]; positive regulation of transforming growth factor beta production [GO:0071636]; positive regulation of vasculogenesis [GO:2001214]; regulation of blood pressure [GO:0008217]; regulation of immune response [GO:0050776]; signal transduction [GO:0007165]; stem cell proliferation [GO:0072089]; tissue homeostasis [GO:0001894]; transdifferentiation [GO:0060290]; vascular wound healing [GO:0061042],apical plasma membrane [GO:0016324]; basal plasma membrane [GO:0009925]; cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; glomerular endothelium fenestra [GO:0036053]; integral component of plasma membrane [GO:0005887]; intercellular bridge [GO:0045171]; lysosome [GO:0005764]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886],apical plasma membrane [GO:0016324]; basal plasma membrane [GO:0009925]; cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; glomerular endothelium fenestra [GO:0036053]; integral component of plasma membrane [GO:0005887]; intercellular bridge [GO:0045171]; lysosome [GO:0005764]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; carbohydrate binding [GO:0030246]; sulfate binding [GO:0043199]; transcription factor binding [GO:0008134]; cell motility [GO:0048870]; cell proliferation [GO:0008283]; cell-cell adhesion [GO:0098609]; cell-matrix adhesion [GO:0007160]; endothelial cell proliferation [GO:0001935]; endothelium development [GO:0003158]; extracellular exosome assembly [GO:0071971]; glomerular endothelium development [GO:0072011]; glomerular filtration [GO:0003094]; hematopoietic stem cell proliferation [GO:0071425]; hemopoiesis [GO:0030097]; leukocyte migration [GO:0050900]; mesangial cell-matrix adhesion [GO:0035759]; metanephric glomerular mesangial cell differentiation [GO:0072254]; negative regulation of blood coagulation [GO:0030195]; negative regulation of cellular response to heat [GO:1900035]; negative regulation of cellular response to hypoxia [GO:1900038]; negative regulation of gene expression [GO:0010629]; negative regulation of interleukin-2 secretion [GO:1900041]; negative regulation of neuron death [GO:1901215]; negative regulation of nitric oxide biosynthetic process [GO:0045019]; negative regulation of tumor necrosis factor production [GO:0032720]; paracrine signaling [GO:0038001]; positive regulation of angiogenesis [GO:0045766]; positive regulation of gene expression [GO:0010628]; positive regulation of glial cell-derived neurotrophic factor secretion [GO:1900168]; positive regulation of granulocyte colony-stimulating factor production [GO:0071657]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of odontogenesis [GO:0042482]; positive regulation of transforming growth factor beta production [GO:0071636]; positive regulation of vasculogenesis [GO:2001214]; regulation of blood pressure [GO:0008217]; regulation of immune response [GO:0050776]; signal transduction [GO:0007165]; stem cell proliferation [GO:0072089]; tissue homeostasis [GO:0001894]; transdifferentiation [GO:0060290]; vascular wound healing [GO:0061042],carbohydrate binding [GO:0030246]; sulfate binding [GO:0043199]; transcription factor binding [GO:0008134],GO:0001894; GO:0001935; GO:0003094; GO:0003158; GO:0005737; GO:0005764; GO:0005886; GO:0005887; GO:0007160; GO:0007165; GO:0008134; GO:0008217; GO:0008283; GO:0009897; GO:0009925; GO:0010628; GO:0010629; GO:0016324; GO:0030097; GO:0030195; GO:0030246; GO:0032720; GO:0032733; GO:0035759; GO:0036053; GO:0038001; GO:0042482; GO:0043199; GO:0045019; GO:0045171; GO:0045766; GO:0048471; GO:0048870; GO:0050776; GO:0050900; GO:0060290; GO:0061042; GO:0071425; GO:0071636; GO:0071657; GO:0071971; GO:0072011; GO:0072089; GO:0072254; GO:0098609; GO:1900035; GO:1900038; GO:1900041; GO:1900168; GO:1901215; GO:2001214
CTGF,aging [GO:0007568]; angiogenesis [GO:0001525]; cartilage condensation [GO:0001502]; cell adhesion [GO:0007155]; cell-cell signaling [GO:0007267]; cell differentiation [GO:0030154]; cell-matrix adhesion [GO:0007160]; cell migration [GO:0016477]; chondrocyte proliferation [GO:0035988]; cytosolic calcium ion transport [GO:0060401]; DNA biosynthetic process [GO:0071897]; epidermis development [GO:0008544]; extracellular matrix constituent secretion [GO:0070278]; fibroblast growth factor receptor signaling pathway [GO:0008543]; integrin-mediated signaling pathway [GO:0007229]; intracellular signal transduction [GO:0035556]; lung development [GO:0030324]; negative regulation of cell death [GO:0060548]; negative regulation of gene expression [GO:0010629]; ossification [GO:0001503]; positive regulation of cardiac muscle contraction [GO:0060452]; positive regulation of cell activation [GO:0050867]; positive regulation of cell differentiation [GO:0045597]; positive regulation of cell proliferation [GO:0008284]; positive regulation of collagen biosynthetic process [GO:0032967]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043280]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of G0 to G1 transition [GO:0070318]; positive regulation of gene expression [GO:0010628]; positive regulation of JNK cascade [GO:0046330]; positive regulation of stress fiber assembly [GO:0051496]; reactive oxygen species metabolic process [GO:0072593]; regulation of cell growth [GO:0001558]; regulation of chondrocyte differentiation [GO:0032330]; response to amino acid [GO:0043200]; response to anoxia [GO:0034059]; response to estradiol [GO:0032355]; response to fatty acid [GO:0070542]; response to glucose [GO:0009749]; response to mineralocorticoid [GO:0051385]; response to peptide hormone [GO:0043434]; response to wounding [GO:0009611]; tissue homeostasis [GO:0001894]; transcription initiation from RNA polymerase II promoter [GO:0006367],cell cortex [GO:0005938]; cis-Golgi network [GO:0005801]; cytosol [GO:0005829]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886],cell cortex [GO:0005938]; cis-Golgi network [GO:0005801]; cytosol [GO:0005829]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; fibronectin binding [GO:0001968]; growth factor activity [GO:0008083]; heparin binding [GO:0008201]; insulin-like growth factor binding [GO:0005520]; integrin binding [GO:0005178]; protein C-terminus binding [GO:0008022]; aging [GO:0007568]; angiogenesis [GO:0001525]; cartilage condensation [GO:0001502]; cell adhesion [GO:0007155]; cell differentiation [GO:0030154]; cell migration [GO:0016477]; cell-cell signaling [GO:0007267]; cell-matrix adhesion [GO:0007160]; chondrocyte proliferation [GO:0035988]; cytosolic calcium ion transport [GO:0060401]; DNA biosynthetic process [GO:0071897]; epidermis development [GO:0008544]; extracellular matrix constituent secretion [GO:0070278]; fibroblast growth factor receptor signaling pathway [GO:0008543]; integrin-mediated signaling pathway [GO:0007229]; intracellular signal transduction [GO:0035556]; lung development [GO:0030324]; negative regulation of cell death [GO:0060548]; negative regulation of gene expression [GO:0010629]; ossification [GO:0001503]; positive regulation of cardiac muscle contraction [GO:0060452]; positive regulation of cell activation [GO:0050867]; positive regulation of cell differentiation [GO:0045597]; positive regulation of cell proliferation [GO:0008284]; positive regulation of collagen biosynthetic process [GO:0032967]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043280]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of G0 to G1 transition [GO:0070318]; positive regulation of gene expression [GO:0010628]; positive regulation of JNK cascade [GO:0046330]; positive regulation of stress fiber assembly [GO:0051496]; reactive oxygen species metabolic process [GO:0072593]; regulation of cell growth [GO:0001558]; regulation of chondrocyte differentiation [GO:0032330]; response to amino acid [GO:0043200]; response to anoxia [GO:0034059]; response to estradiol [GO:0032355]; response to fatty acid [GO:0070542]; response to glucose [GO:0009749]; response to mineralocorticoid [GO:0051385]; response to peptide hormone [GO:0043434]; response to wounding [GO:0009611]; tissue homeostasis [GO:0001894]; transcription initiation from RNA polymerase II promoter [GO:0006367],fibronectin binding [GO:0001968]; growth factor activity [GO:0008083]; heparin binding [GO:0008201]; insulin-like growth factor binding [GO:0005520]; integrin binding [GO:0005178]; protein C-terminus binding [GO:0008022],GO:0001502; GO:0001503; GO:0001525; GO:0001558; GO:0001894; GO:0001968; GO:0005178; GO:0005520; GO:0005576; GO:0005615; GO:0005801; GO:0005829; GO:0005886; GO:0005938; GO:0006367; GO:0007155; GO:0007160; GO:0007229; GO:0007267; GO:0007568; GO:0008022; GO:0008083; GO:0008201; GO:0008284; GO:0008543; GO:0008544; GO:0009611; GO:0009749; GO:0010628; GO:0010629; GO:0016477; GO:0030154; GO:0030324; GO:0031012; GO:0032330; GO:0032355; GO:0032967; GO:0034059; GO:0035556; GO:0035988; GO:0043200; GO:0043280; GO:0043434; GO:0045597; GO:0046330; GO:0048471; GO:0050867; GO:0051385; GO:0051496; GO:0060401; GO:0060452; GO:0060548; GO:0070278; GO:0070318; GO:0070374; GO:0070542; GO:0071897; GO:0072593
PRDX5,cell redox homeostasis [GO:0045454]; cellular response to oxidative stress [GO:0034599]; cellular response to reactive oxygen species [GO:0034614]; hydrogen peroxide catabolic process [GO:0042744]; inflammatory response [GO:0006954]; NADPH oxidation [GO:0070995]; negative regulation of apoptotic process [GO:0043066]; negative regulation of oxidoreductase activity [GO:0051354]; negative regulation of transcription by RNA polymerase III [GO:0016480]; positive regulation of collagen biosynthetic process [GO:0032967]; reactive nitrogen species metabolic process [GO:2001057]; regulation of apoptosis involved in tissue homeostasis [GO:0060785]; response to oxidative stress [GO:0006979],cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; intracellular membrane-bounded organelle [GO:0043231]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; peroxisomal matrix [GO:0005782]; peroxisome [GO:0005777],cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; intracellular membrane-bounded organelle [GO:0043231]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; peroxisomal matrix [GO:0005782]; peroxisome [GO:0005777]; antioxidant activity [GO:0016209]; cysteine-type endopeptidase inhibitor activity involved in apoptotic process [GO:0043027]; peroxidase activity [GO:0004601]; peroxiredoxin activity [GO:0051920]; peroxynitrite reductase activity [GO:0072541]; protein dimerization activity [GO:0046983]; RNA polymerase III regulatory region DNA binding [GO:0001016]; signaling receptor binding [GO:0005102]; thioredoxin peroxidase activity [GO:0008379]; cell redox homeostasis [GO:0045454]; cellular response to oxidative stress [GO:0034599]; cellular response to reactive oxygen species [GO:0034614]; hydrogen peroxide catabolic process [GO:0042744]; inflammatory response [GO:0006954]; NADPH oxidation [GO:0070995]; negative regulation of apoptotic process [GO:0043066]; negative regulation of oxidoreductase activity [GO:0051354]; negative regulation of transcription by RNA polymerase III [GO:0016480]; positive regulation of collagen biosynthetic process [GO:0032967]; reactive nitrogen species metabolic process [GO:2001057]; regulation of apoptosis involved in tissue homeostasis [GO:0060785]; response to oxidative stress [GO:0006979],antioxidant activity [GO:0016209]; cysteine-type endopeptidase inhibitor activity involved in apoptotic process [GO:0043027]; peroxidase activity [GO:0004601]; peroxiredoxin activity [GO:0051920]; peroxynitrite reductase activity [GO:0072541]; protein dimerization activity [GO:0046983]; RNA polymerase III regulatory region DNA binding [GO:0001016]; signaling receptor binding [GO:0005102]; thioredoxin peroxidase activity [GO:0008379],GO:0001016; GO:0004601; GO:0005102; GO:0005615; GO:0005634; GO:0005737; GO:0005739; GO:0005759; GO:0005777; GO:0005782; GO:0005829; GO:0006954; GO:0006979; GO:0008379; GO:0016209; GO:0016480; GO:0031410; GO:0032967; GO:0034599; GO:0034614; GO:0042744; GO:0043027; GO:0043066; GO:0043231; GO:0045454; GO:0046983; GO:0048471; GO:0051354; GO:0051920; GO:0060785; GO:0070062; GO:0070995; GO:0072541; GO:2001057
HSPA4,chaperone-mediated protein complex assembly [GO:0051131]; protein import into mitochondrial outer membrane [GO:0045040]; response to unfolded protein [GO:0006986],cytosol [GO:0005829]; extracellular exosome [GO:0070062],cytosol [GO:0005829]; extracellular exosome [GO:0070062]; ATP binding [GO:0005524]; chaperone-mediated protein complex assembly [GO:0051131]; protein import into mitochondrial outer membrane [GO:0045040]; response to unfolded protein [GO:0006986],ATP binding [GO:0005524],GO:0005524; GO:0005829; GO:0006986; GO:0045040; GO:0051131; GO:0070062
